Landmark_ID,View,Side,BodyPart_PL,English_Key,Measurement_PL,Type,Geometry,How_To_Annotate,Status,Used_For,Pairing_Landmark,Output_Metric,Confidence_Rules,Occlusion_Handling,Fit_Relevance,App_Field,Notes
P_SHOULDER_D,PROFIL,C,bark,shoulder_depth_profile,bark / obręcz barkowa — profil,D,poziomo,grubość okolicy barku / ramienia w profilu,EXT,posture+fit,B_SHOULDERS_W,postura / ramiona,Skręt barków powoduje reject/retry,twist→reject,"marynarki, żakiety",shoulder_depth_cm,"Pomocnicze, nie rdzeń obwodu"
P_CHEST_D,PROFIL,C,klatka piersiowa,chest_depth_profile,klatka — głębokość,D,poziomo,od pleców do najbardziej wysuniętego punktu klatki z przodu,CORE,measurement,F_CHEST_W+B_UPPERBACK_W,obwód klatki,Nie mierzyć od ramienia/łokcia; ręka nie może zasłaniać,arm_occlusion→low,"koszule, T-shirt, marynarki",chest_depth_cm,Twój standard: od pleców do frontu
P_WAIST_D,PROFIL,C,talia,waist_depth_profile,talia — głębokość,D,poziomo,od pleców do przedniej linii tułowia na poziomie talii,CORE,measurement,F_WAIST_W+B_WAIST_W,obwód talii,Łokieć/ręka nie może wchodzić w pomiar,arm_occlusion→low,"spodnie, sukienki, garnitury",waist_depth_cm,"Twój standard: nie od łokcia, tylko plecy→przód"
P_ABDOMEN_D,PROFIL,C,brzuch,abdomen_depth_profile,brzuch — głębokość,D,poziomo,od pleców do najbardziej wysuniętego punktu brzucha,EXT,measurement+posture,F_ABDOMEN_W,obwód brzucha,Postawa/brzuch napięty lub wciągnięty: low/medium,pose→confirm,produkty dopasowane,abdomen_depth_cm,Przydatne w bodycon/slim fit
P_HIPS_D,PROFIL,C,biodra / pośladki,hips_depth_profile,biodra — głębokość,D,poziomo,od najbardziej tylnego punktu pośladków do przedniej linii bioder/pachwiny,CORE,measurement,F_HIPS_W+B_HIPS_W,obwód bioder,Luźne spodenki mocno obniżają confidence,loose_clothing→low,"spodnie, sukienki, legginsy",hips_depth_cm,"To jest głębokość bioder/pośladków, nie bok ubrania"
P_BICEPS_D,PROFIL,visible,biceps,biceps_depth_profile,biceps — głębokość,D,poziomo,grubość bicepsa w najszerszym miejscu widocznej ręki,EXT,fit,F_BICEPS_L/R_W,obwód bicepsa,Ręka zasłania tułów lub przylega: low,arm_occlusion→low,rękawy,biceps_depth_cm,Używać z front L/R
P_WRIST_D,PROFIL,visible,nadgarstek,wrist_depth_profile,nadgarstek — głębokość,D,po skosie,najwęższe miejsce końca przedramienia,CORE,fit,F_WRIST_L/R_W,obwód nadgarstka,Zegarek / dłoń / ruch: low,accessory→low,mankiety,wrist_depth_cm,Po skosie w najwęższym miejscu
P_THIGH_D,PROFIL,visible,udo,thigh_depth_profile,udo — głębokość max,D,poziomo,"od tylnej do przedniej linii uda, wysoko powyżej nogawki",CORE,measurement,F_THIGH_L/R_MAX_W+B_THIGH_REF,obwód uda,"Luźne spodenki: to może być nogawka, nie udo",loose_clothing→low,"spodnie, legginsy",thigh_depth_cm,Na profilu musi być wyżej niż krawędź spodenek
P_CALF_MAX_D,PROFIL,visible,łydka max,calf_max_depth_profile,łydka max — głębokość,D,poziomo,od tylnej do przedniej linii łydki w najszerszym miejscu,CORE,measurement,F_CALF_L/R_MAX_W+B_CALF_MAX_W,obwód łydki max,"OK, jeśli pełna noga i stopa widoczne",full_body_required,spodnie slim/tapered,calf_max_depth_cm,Profil bardzo ważny dla obwodu łydki
P_CALF_MIN_D,PROFIL,visible,łydka min,calf_min_depth_profile,łydka min — głębokość,D,poziomo,od tylnej do przedniej linii łydki w najwęższym miejscu,CORE,measurement,F_CALF_L/R_MIN_W+B_CALF_MIN_W,obwód łydki min,Skarpety mogą wpłynąć,sock→medium,spodnie tapered,calf_min_depth_cm,Przy dolnej części łydki
B_SHOULDERS_W,TYŁ,C,barki / ramiona,shoulders_width_back,ramiona — tył,W,poziomo,szerokość barków od tyłu,CORE,posture+QA,F_SHOULDERS_W,symetria barków,Asymetria barków → posture finding,asymmetry_check,"marynarki, postawa",back_shoulders_cm,Bardzo ważne dla posture
B_UPPERBACK_W,TYŁ,C,górne plecy,upperback_width_back,górne plecy / klatka od tyłu,W,poziomo,szerokość na poziomie klatki od tyłu,EXT,measurement+posture,F_CHEST_W+P_CHEST_D,korekta klatki,Luźna koszulka → medium/low,loose_clothing→medium,góra odzieży,upperback_width_cm,Pomocnicze do klatki
B_WAIST_W,TYŁ,C,talia tył,waist_width_back,talia — tył,W,poziomo,szerokość talii od tyłu,CORE,measurement+QA,F_WAIST_W+P_WAIST_D,korekta talii,Ubranie/falda → medium,loose_clothing→medium,"spodnie, sukienki",back_waist_cm,Pomaga przy asymetrii
B_HIPS_W,TYŁ,C,biodra / pośladki tył,hips_width_back,biodra — tył,W,poziomo,szerokość bioder / pośladków od tyłu,CORE,measurement+QA,F_HIPS_W+P_HIPS_D,korekta bioder,Luźne spodenki/spódnica → low,loose_clothing→low,"spodnie, sukienki, legginsy",back_hips_cm,Bardzo ważne do bioder
B_THIGH_L_REF,TYŁ,L,udo lewe tył,left_thigh_back_ref,udo lewe — ref tył,W/QA,poziomo,"szerokość uda od tyłu, jeśli widoczna",EXT,QA+measurement,F_THIGH_L_MAX_W+P_THIGH_D,korekta uda L,Zasłonięte ubraniem: low,occluded→low,spodnie,left_thigh_back_cm,Pomocnicze
B_THIGH_R_REF,TYŁ,R,udo prawe tył,right_thigh_back_ref,udo prawe — ref tył,W/QA,poziomo,"szerokość uda od tyłu, jeśli widoczna",EXT,QA+measurement,F_THIGH_R_MAX_W+P_THIGH_D,korekta uda R,Zasłonięte ubraniem: low,occluded→low,spodnie,right_thigh_back_cm,Pomocnicze
B_CALF_L_MAX_W,TYŁ,L,łydka lewa max tył,left_calf_max_back,łydka lewa max — tył,W,poziomo,szerokość łydki max od tyłu,EXT,QA+measurement,F_CALF_L_MAX_W+P_CALF_MAX_D,korekta łydki L,OK przy widocznej nodze,full_body_required,spodnie,left_calf_max_back_cm,Pomocnicze
B_CALF_R_MAX_W,TYŁ,R,łydka prawa max tył,right_calf_max_back,łydka prawa max — tył,W,poziomo,szerokość łydki max od tyłu,EXT,QA+measurement,F_CALF_R_MAX_W+P_CALF_MAX_D,korekta łydki R,OK przy widocznej nodze,full_body_required,spodnie,right_calf_max_back_cm,Pomocnicze
B_SPINE_AXIS,TYŁ,C,oś ciała,spine_axis_back,oś ciała / kręgosłup wizualnie,QA,pionowo,linia środkowa kark–miednica,CORE,posture,none,posture screening,Nie diagnoza medyczna; tylko cechy wizualne,QA only,"postawa, fit wizualny",spine_axis,Nie używać jako diagnozy
B_SHOULDER_LINE,TYŁ,C,linia barków,shoulder_line_back,linia barków,QA,poziomo,lewy bark ↔ prawy bark,CORE,posture,none,asymetria barków,Skręt ciała może dać false positive,quality_gate_required,"postawa, ramiona",shoulder_line,Wymaga dobrego tyłu
B_PELVIS_LINE,TYŁ,C,linia miednicy,pelvis_line_back,linia miednicy,QA,poziomo,lewy biodrowy punkt ↔ prawy biodrowy punkt,CORE,posture,none,asymetria miednicy,Skręt/pozycja nóg może dać false positive,quality_gate_required,"postawa, dolne partie",pelvis_line,Wymaga dobrego tyłu
